yearID,ATL,BAL,BOS,CHA,CHN,CIN,CLE,DET,HOU,KCA,LAN,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TEX,TOR
1977,61,97,97,90,81,88,71,74,81,102,98,84,100,64,63,101,96,69,64,75,83,94,54
1978,69,90,99,71,79,92,69,86,74,92,95,73,100,66,69,90,88,84,56,89,69,87,59
1979,66,102,91,73,80,90,81,85,89,85,79,82,89,63,54,84,98,68,67,71,86,83,53
1980,81,100,83,70,64,89,79,84,93,97,92,77,103,67,83,91,83,73,59,75,74,76,67
1981,50,59,59,54,38,66,52,60,61,50,63,41,59,41,64,59,46,41,44,56,59,57,37
1982,89,94,89,87,73,61,78,83,77,90,88,60,79,65,68,89,84,81,76,87,92,64,78
1983,88,98,78,99,71,74,70,92,85,79,91,70,91,68,74,90,84,81,60,79,79,77,89
1984,80,85,86,74,96,70,75,104,80,84,79,81,87,90,77,81,75,92,74,66,84,69,89
1985,66,83,81,85,77,89,60,84,83,91,95,77,97,98,77,75,57,83,74,62,101,62,99
1986,72,73,95,72,70,86,84,87,96,76,73,71,90,108,76,86,64,74,67,83,79,87,86
1987,69,67,78,77,76,84,61,98,76,83,73,85,89,92,81,80,80,65,78,90,95,75,96
1988,54,54,89,71,77,87,78,88,82,84,94,91,85,100,104,65,85,83,68,83,76,70,87
1989,63,87,83,69,93,75,73,59,86,92,77,80,74,87,99,67,74,89,73,92,86,83,89
1990,65,76,88,94,77,91,77,79,75,75,86,74,67,91,103,77,95,75,77,85,70,83,86
1991,94,67,84,87,77,74,57,84,65,82,93,95,71,77,84,78,98,84,83,75,84,85,91
1992,98,89,73,86,78,90,76,75,81,72,63,90,76,72,96,70,96,82,64,72,83,77,96
1993,104,85,80,94,84,73,76,85,85,84,81,71,88,59,68,97,75,61,82,103,87,86,95
1994,68,63,54,67,49,66,66,53,66,64,58,53,70,55,51,54,53,47,49,55,53,52,55
1995,90,71,86,68,73,85,100,60,76,70,78,56,79,69,67,69,58,70,79,67,62,74,56
1996,96,88,85,85,76,81,99,53,82,75,90,78,92,71,78,67,73,91,85,68,88,90,74
1997,101,98,78,80,68,76,86,79,84,67,88,68,96,88,65,68,79,76,90,90,73,77,76
1998,106,79,92,80,90,77,89,65,102,72,83,70,114,88,74,75,69,98,76,89,83,88,88
1999,103,78,94,75,67,96,97,69,97,64,77,63,98,97,87,77,78,74,79,86,75,95,84
2000,95,74,85,95,65,85,90,79,72,77,86,69,87,94,91,65,69,76,91,97,95,71,83
2001,88,63,82,83,88,66,91,66,93,65,86,85,95,82,102,86,62,79,116,90,93,73,80
2002,101,67,93,81,67,78,74,55,84,62,92,94,103,75,103,80,72,66,93,95,97,72,78
2003,101,71,95,86,88,69,68,43,87,83,85,90,101,66,96,86,75,64,93,100,85,71,86
2004,96,78,98,83,89,76,80,72,92,58,93,92,101,71,91,86,72,87,63,91,105,89,67
2005,90,74,95,99,79,73,93,71,89,56,71,83,95,83,88,88,67,82,69,75,100,79,80
2006,79,70,86,90,66,80,78,95,82,62,88,96,97,97,93,85,67,88,78,76,83,80,87
2007,84,69,96,72,85,72,96,88,73,69,82,79,94,88,76,89,68,89,88,71,78,75,83
2008,72,68,95,89,97,74,81,74,86,75,84,88,89,89,75,92,67,63,61,72,86,79,86
2009,86,64,95,79,83,78,65,86,74,65,95,87,103,70,75,93,62,75,85,88,91,87,75
2010,91,66,89,88,75,91,69,81,76,67,80,94,95,79,81,97,57,90,61,92,86,90,85
2011,89,69,90,79,71,79,80,95,56,71,82,63,97,77,74,102,72,71,67,86,90,96,81
2012,94,93,69,85,61,97,68,88,55,72,86,66,95,74,94,81,79,76,75,94,88,93,73
2013,96,85,97,63,66,90,92,93,51,86,92,66,85,74,96,73,94,76,71,76,97,91,74
2014,79,96,71,73,73,76,85,90,70,89,94,70,84,79,88,73,88,77,87,88,90,67,83
2015,67,81,78,76,97,64,81,74,86,95,92,83,87,90,68,63,98,74,76,84,100,88,93
2016,68,89,93,78,103,68,94,86,84,81,91,59,84,87,69,71,78,68,86,87,86,95,89
